endpoint_id,provider,display_name,description,category,status,thumbnail_url,model_url,supported_duration_range,ai_model_price_list
bytedance/seedance-2.0/fast/image-to-video,fal.ai,Seedance 2.0 Fast Image to Video,"ByteDance's most advanced image-to-video model, fast tier. Lower latency and cost with synchronized audio, start and end frame control, and motion prompts.",image-to-video,active,,https://fal.run/bytedance/seedance-2.0/fast/image-to-video,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.2419}]"
fal-ai/bytedance/seedance/v1.5/pro/image-to-video,fal.ai,Bytedance Seedance V1.5 Pro Image To Video,Generate videos with audio with Seedance 1.5 (supports start & end frame) ,image-to-video,active,,https://fal.run/fal-ai/bytedance/seedance/v1.5/pro/image-to-video,"[4, 5, 6, 7, 8, 9, 10, 11, 12]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.02592}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.05832}]"
alibaba/happy-horse/image-to-video,fal.ai,Happy Horse,Alibaba's #1-ranked Happy Horse 1.0  generate 1080p video with synchronized native audio and multilingual lip-sync from text prompts or images.,image-to-video,active,,https://fal.run/alibaba/happy-horse/image-to-video,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.14}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.28}]"
fal-ai/kling-video/o3/pro/image-to-video,fal.ai,Kling O3 Image to Video [Pro],"Generate a video by taking a start frame and an end frame, animating the transition between them while following text-driven style and scene guidance.",image-to-video,active,,https://fal.run/fal-ai/kling-video/o3/pro/image-to-video,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_1080p"", ""price_per_unit"": 0.112}]"
fal-ai/kling-video/o3/standard/image-to-video,fal.ai,Kling O3 Image to Video [Pro],"Generate a video by taking a start frame and an end frame, animating the transition between them while following text-driven style and scene guidance.",image-to-video,active,,https://fal.run/fal-ai/kling-video/o3/standard/image-to-video,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.084}]"
fal-ai/wan/v2.7/image-to-video,fal.ai,Wan,"Wan 2.7 is the latest generation AI video model, delivering enhanced motion smoothness, superior scene fidelity, and greater visual coherence.",image-to-video,active,,https://fal.run/fal-ai/wan/v2.7/image-to-video,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.1}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.15}]"
fal-ai/pixverse/v6/image-to-video,fal.ai,PixVerse V6 Image To Video,Pixverse's latest V6 Model,image-to-video,active,,https://fal.run/fal-ai/pixverse/v6/image-to-video,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.045}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.09}]"
fal-ai/bytedance/seedance/v1/pro/fast/image-to-video,fal.ai,Bytedance Seedance V1 Pro Fast Image To Video,"Image to Video endpoint for Seedance 1.0 Pro Fast, a next-generation video model designed to deliver maximum performance at minimal cost",image-to-video,active,,https://fal.run/fal-ai/bytedance/seedance/v1/pro/fast/image-to-video,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.0216}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.0486}]"
fal-ai/vidu/q3/image-to-video,fal.ai,Vidu,Vidu's latest Q3 pro models.,image-to-video,active,,https://fal.run/fal-ai/vidu/q3/image-to-video,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.154}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.154}]"
fal-ai/kling-video/o3/4k/image-to-video,fal.ai,Kling Video,"Kling's Native 4K is a video generation model that directly outputs professional-grade 4K video in one step, eliminating the need for post-production upscaling",image-to-video,active,,https://fal.run/fal-ai/kling-video/o3/4k/image-to-video,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_2160p"", ""price_per_unit"": 0.42}]"
fal-ai/vidu/q3/image-to-video/turbo,fal.ai,Vidu,Vidu's Q3 Turbo Model,image-to-video,active,,https://fal.run/fal-ai/vidu/q3/image-to-video/turbo,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.077}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.077}]"
fal-ai/pixverse/c1/image-to-video,fal.ai,PixVerse C1 Image To Video,"Animate images into cinematic videos with PixVerse C1, supporting 1080p resolution and native audio generation.",image-to-video,active,,https://fal.run/fal-ai/pixverse/c1/image-to-video,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.05}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.095}]"
fal-ai/ltx-video-13b-distilled/image-to-video,fal.ai,LTX Video-0.9.7 13B Distilled,Generate videos from prompts and images using LTX Video-0.9.7 13B Distilled and custom LoRA,image-to-video,active,,https://fal.run/fal-ai/ltx-video-13b-distilled/image-to-video,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.08}]"
fal-ai/ltxv-13b-098-distilled/image-to-video,fal.ai,LTX-Video 13B 0.9.8 Distilled,Generate long videos from prompts and images using LTX Video-0.9.8 13B Distilled and custom LoRA,image-to-video,active,,https://fal.run/fal-ai/ltxv-13b-098-distilled/image-to-video,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.04}]"
fal-ai/vidu/q2/image-to-video/turbo,fal.ai,Vidu,Use the latest Vidu Q2 models which much more better quality and control on your videos.,image-to-video,active,,https://fal.run/fal-ai/vidu/q2/image-to-video/turbo,"[2, 3, 4, 5, 6, 7, 8]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.05}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.15}]"
fal-ai/vidu/q2/image-to-video/pro,fal.ai,Vidu,Use the latest Vidu Q2 models which much more better quality and control on your videos.,image-to-video,active,,https://fal.run/fal-ai/vidu/q2/image-to-video/pro,"[2, 3, 4, 5, 6, 7, 8]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.1}, {""unit"": ""video_1080p"", ""price_per_unit"": 0.25}]"
fal-ai/ltx-video-13b-dev/image-to-video,fal.ai,LTX Video-0.9.7 13B,Generate videos from prompts and images using LTX Video-0.9.7 13B and custom LoRA,image-to-video,active,,https://fal.run/fal-ai/ltx-video-13b-dev/image-to-video,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","[{""unit"": ""video_720p"", ""price_per_unit"": 0.2}]"
