endpoint_id,provider,display_name,description,category,status,thumbnail_url,model_url,supported_duration_range,ai_model_price_list,is_valuable
fal-ai/qwen-image-2/edit,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,image-to-image,active,https://v3b.fal.media/files/b/0a90b2fc/Ktwh3M7POlvD59oS7rW2G_b395be4ae04343aaaf35a68bb92502c3.jpg,https://fal.run/fal-ai/qwen-image-2/edit,[],[],FALSE
fal-ai/qwen-image-2/pro/text-to-image,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,text-to-image,active,https://v3b.fal.media/files/b/0a90b320/-wZWpEebEQi20T6Z5ewms_ab61b57446c945a4beb6d3cab6b9367c.jpg,https://fal.run/fal-ai/qwen-image-2/pro/text-to-image,[],[],FALSE
fal-ai/qwen-image-2/pro/edit,fal.ai,Qwen Image 2,Qwen-Image-2.0 is a next-generation foundational unified generation-and-editing model,image-to-image,active,https://v3b.fal.media/files/b/0a90b308/MaD9dwwc6YSa92Jhkhk0u_e29246f04f9646428d2ea04079417985.jpg,https://fal.run/fal-ai/qwen-image-2/pro/edit,[],[],FALSE
fal-ai/kling-image/v3/text-to-image,fal.ai,Kling Image,Kling V3: Latest Kling Image model,text-to-image,active,https://v3b.fal.media/files/b/0a8cfd08/Ji4e0i6Afbeql3Wr5UTz6_ab60b14661424612bf19059e97e996a5.jpg,https://fal.run/fal-ai/kling-image/v3/text-to-image,[],[],FALSE
fal-ai/kling-image/v3/image-to-image,fal.ai,Kling Image,Kling Image V3: Latest kling image model,image-to-image,active,https://v3b.fal.media/files/b/0a8cfd13/t6TSkWzl6cFAzvO1PCdDu_f38263f637d245929f03881454951540.jpg,https://fal.run/fal-ai/kling-image/v3/image-to-image,[],[],FALSE
fal-ai/kling-image/o3/text-to-image,fal.ai,Kling Image,Kling Omni 3: Top-tier text-to-image with flawless consistency.,text-to-image,active,https://v3b.fal.media/files/b/0a8cfcbc/DK-poq8omK9dUDtf0KCbr_41eb518e86be4c40ac1864a4a4fba2be.jpg,https://fal.run/fal-ai/kling-image/o3/text-to-image,[],[],FALSE
fal-ai/kling-image/o3/image-to-image,fal.ai,Kling Image,Kling Omni 3: Top-tier image-to-image with flawless consistency.,image-to-image,active,https://v3b.fal.media/files/b/0a8d24a0/FX4gbFjRsBJPDJ2WkPMFa_9f3aa39f5fd84be395b5ce3dee7e4dd1.jpg,https://fal.run/fal-ai/kling-image/o3/image-to-image,[],[],FALSE
fal-ai/wan/v2.7/text-to-image,fal.ai,Wan,Generate high-quality images from text prompts using the WAN 2.7 model with advanced prompt understanding and detailed output.,text-to-image,active,https://v3b.fal.media/files/b/0a948152/0UucVYSOBXiyibwSyN3HT_38400743f04344a5b25b1cd9b551a625.jpg,https://fal.run/fal-ai/wan/v2.7/text-to-image,[],[],FALSE
fal-ai/wan/v2.7/edit,fal.ai,Wan,Transform and edit existing images with text-guided instructions using the WAN 2.7 model for creative image manipulation.,image-to-image,active,https://v3b.fal.media/files/b/0a948161/E43snBsqtEWRB2KGM6723_8b2971637e504a00b4bcf2cec7d544b6.jpg,https://fal.run/fal-ai/wan/v2.7/edit,[],[],FALSE
fal-ai/wan/v2.7/pro/text-to-image,fal.ai,Wan,Generate premium-quality images from text prompts using the enhanced WAN 2.7 Pro model with superior detail and composition.,text-to-image,active,https://v3b.fal.media/files/b/0a94814a/vKQfFX-pXcXv4MDvgtybu_d79aaa7e8534459281ac0bb474872f4b.jpg,https://fal.run/fal-ai/wan/v2.7/pro/text-to-image,[],[],FALSE
fal-ai/wan/v2.7/pro/edit,fal.ai,Wan,"Edit and transform images using text instructions with the WAN 2.7 Pro model for precise, professional-grade image modifications.",image-to-image,active,https://v3b.fal.media/files/b/0a94816f/BhHA2kmKyAQ8vJxw_HPQ4_2b4b35f0fbb0449195d84178ba988112.jpg,https://fal.run/fal-ai/wan/v2.7/pro/edit,[],[],FALSE
fal-ai/glm-image,fal.ai,Glm Image,"Create high-quality images with accurate text rendering and rich knowledge details—supports editing, style transfer, and maintaining consistent characters across multiple images.",text-to-image,active,https://v3b.fal.media/files/b/0a8a4c6f/XY6gc2c6YgtIKHKiTKRfO_c7be09cba1eb4ebe850aea98676df98d.jpg,https://fal.run/fal-ai/glm-image,[],[],FALSE
fal-ai/glm-image/image-to-image,fal.ai,Glm Image,"Create high-quality images with accurate text rendering and rich knowledge details—supports editing, style transfer, and maintaining consistent characters across multiple images.",image-to-image,active,https://v3b.fal.media/files/b/0a8a4d0f/umwWSuRRBSyt9U_bdGB9i_2de7b25b3997468f8166d372a12dff93.jpg,https://fal.run/fal-ai/glm-image/image-to-image,[],[],FALSE
fal-ai/qwen-image,fal.ai,Qwen Image,Qwen-Image is an image generation foundation model in the Qwen series that achieves significant advances in complex text rendering and precise image editing. ,text-to-image,active,https://fal.media/files/koala/6JAMNCSti-vm-zJeZi6hA_626cdc11d4d04560ac9523fbd61f2eac.jpg,https://fal.run/fal-ai/qwen-image,[],[],FALSE
fal-ai/qwen-image/image-to-image,fal.ai,Qwen Image,"Qwen-Image (Image-to-Image) transforms and edits input images with high fidelity, enabling precise style transfer, enhancement, and creative modification.",image-to-image,active,https://fal.media/files/koala/6JAMNCSti-vm-zJeZi6hA_626cdc11d4d04560ac9523fbd61f2eac.jpg,https://fal.run/fal-ai/qwen-image/image-to-image,[],[],FALSE
fal-ai/flux/krea,fal.ai,FLUX.1 Krea [dev],FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.,text-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Upscale-2.jpg,https://fal.run/fal-ai/flux/krea,[],[],FALSE
fal-ai/flux/krea/image-to-image,fal.ai,FLUX.1 Krea [dev],FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.\n,image-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Upscale-4.jpeg,https://fal.run/fal-ai/flux/krea/image-to-image,[],[],FALSE
fal-ai/flux-1/krea,fal.ai,FLUX.1 Krea [dev],FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.,text-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Sound-5.jpg,https://fal.run/fal-ai/flux-1/krea,[],[],FALSE
fal-ai/flux-1/krea/image-to-image,fal.ai,FLUX.1 Krea [dev],FLUX.1 Krea [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.\n,image-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Training-5.jpg,https://fal.run/fal-ai/flux-1/krea/image-to-image,[],[],FALSE
fal-ai/qwen-image-max/text-to-image,fal.ai,Qwen Image Max,Text-to-Image endpoint for Qwen-Image-Max. Qwen Image Max improves upon the Qwen Image Plus series by enhancing the realism and naturalness of images.,text-to-image,active,https://v3b.fal.media/files/b/0a8c1c98/tClMYMPB6OkHzUHKQC6qf_65124fde152b47c9ab2db7bdf95340a0.jpg,https://fal.run/fal-ai/qwen-image-max/text-to-image,[],[],FALSE
fal-ai/qwen-image-max/edit,fal.ai,Qwen Image Max,Image editing endpoint for Qwen-Image-Max. Qwen Image Max improves upon the Qwen Image Plus series by enhancing the realism and naturalness of images.,image-to-image,active,https://v3b.fal.media/files/b/0a8c1c81/hMoPEMrnsMl-BPesZ3v02_cb7c0df16e074d0fb5959090fc670856.jpg,https://fal.run/fal-ai/qwen-image-max/edit,[],[],FALSE
fal-ai/flux-1/dev,fal.ai,FLUX.1 [dev],FLUX.1 [dev] is a 12 billion parameter flow transformer that generates high-quality images from text. It is suitable for personal and commercial use.\n,text-to-image,active,https://storage.googleapis.com/fal_cdn/fal/for%20videos-4.jpg,https://fal.run/fal-ai/flux-1/dev,[],[],FALSE
fal-ai/flux-1/dev/image-to-image,fal.ai,FLUX.1 [dev],FLUX.1 [dev] is a 12 billion parameter flow transformer that generates high-quality images from text. It is suitable for personal and commercial use.\n,image-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Upscale-2.jpg,https://fal.run/fal-ai/flux-1/dev/image-to-image,[],[],FALSE
rundiffusion-fal/juggernaut-flux/pro,fal.ai,Juggernaut Flux Pro,"Juggernaut Pro Flux by RunDiffusion is the flagship Juggernaut model rivaling some of the most advanced image models available, often surpassing them in realism. It combines Juggernaut Base with RunDiffusion Photo and features enhancements like reduced background blurriness.",text-to-image,active,https://storage.googleapis.com/falserverless/gallery/juggernaut-flux-pro.webp,https://fal.run/rundiffusion-fal/juggernaut-flux/pro,[],[],FALSE
rundiffusion-fal/juggernaut-flux/pro/image-to-image,fal.ai,Juggernaut Flux Pro,"Juggernaut Pro Flux by RunDiffusion is the flagship Juggernaut model rivaling some of the most advanced image models available, often surpassing them in realism. It combines Juggernaut Base with RunDiffusion Photo and features enhancements like reduced background blurriness.",image-to-image,active,https://storage.googleapis.com/falserverless/gallery/juggernaut-flux-pro.webp,https://fal.run/rundiffusion-fal/juggernaut-flux/pro/image-to-image,[],[],FALSE
fal-ai/flux/srpo,fal.ai,FLUX.1 SRPO [dev],FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.,text-to-image,active,https://fal.media/files/lion/ZNXdbSzAuCKiNcAobhmuq_433a1adbd71044199027c873cac81298.jpg,https://fal.run/fal-ai/flux/srpo,[],[],FALSE
fal-ai/flux/srpo/image-to-image,fal.ai,FLUX.1 SRPO [dev],FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.\n,image-to-image,active,https://fal.media/files/lion/h6ZndwWNcRsiobOzKCSmL_4ab6291336a74f78b4c90d9b42e97ab0.jpg,https://fal.run/fal-ai/flux/srpo/image-to-image,[],[],FALSE
fal-ai/flux-1/srpo,fal.ai,FLUX.1 SRPO [dev],FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.,text-to-image,active,https://fal.media/files/elephant/sc5nHfAUsSmVjmNNzoHDo_0b10ed5de0c24d9f88df8ed0a350f49f.jpg,https://fal.run/fal-ai/flux-1/srpo,[],[],FALSE
fal-ai/flux-1/srpo/image-to-image,fal.ai,FLUX.1 SRPO [dev],FLUX.1 SRPO [dev] is a 12 billion parameter flow transformer that generates high-quality images from text with incredible aesthetics. It is suitable for personal and commercial use.\n,image-to-image,active,https://fal.media/files/panda/Lw4P1PGZPkZkAPI3u_Mxt_709597e8d0024e10ab25dfdf31963d0a.jpg,https://fal.run/fal-ai/flux-1/srpo/image-to-image,[],[],FALSE
fal-ai/longcat-image,fal.ai,Longcat Image,"LongCat image is a 6B parameter model excelling at multilingual text rendering, photorealism and deployment efficiency.",text-to-image,active,https://v3b.fal.media/files/b/0a851b6e/FRYO5MwzWRxk8dt0FR5Ib_bb0a8072b65d4af59dbb8fccdd52b02b.jpg,https://fal.run/fal-ai/longcat-image,[],[],FALSE
fal-ai/longcat-image/edit,fal.ai,Longcat Image,"LongCat image Edit is a 6B parameter image editing model excelling at multilingual text rendering, photorealism and deployment efficiency.",image-to-image,active,https://v3b.fal.media/files/b/0a859c1b/mdsG5LYIfadIqFJkLMWbo_b0fd88a073a64e0eb378a3f1ba907087.jpg,https://fal.run/fal-ai/longcat-image/edit,[],[],FALSE
fal-ai/bagel,fal.ai,Bagel,Bagel is a 7B parameter from Bytedance-Seed multimodal model that can generate both text and images.,text-to-image,active,https://storage.googleapis.com/falserverless/gallery/bagel.webp,https://fal.run/fal-ai/bagel,[],[],FALSE
fal-ai/bagel/edit,fal.ai,Bagel,Bagel is a 7B parameter multimodal model from Bytedance-Seed that can generate both images and text.,image-to-image,active,https://storage.googleapis.com/falserverless/gallery/bagel.webp,https://fal.run/fal-ai/bagel/edit,[],[],FALSE
fal-ai/hidream-i1-full,fal.ai,Hidream I1 Full,HiDream-I1 full is a new open-source image generative foundation model with 17B parameters that achieves state-of-the-art image generation quality within seconds.,text-to-image,active,https://fal.media/files/monkey/HzdkkAoX8-PqrYZUV0zOW_1efb1b99d0e84ce78dd35e8edc69fe09.jpg,https://fal.run/fal-ai/hidream-i1-full,[],[],FALSE
fal-ai/hidream-i1-full/image-to-image,fal.ai,Hidream I1 Full,HiDream-I1 full is a new open-source image generative foundation model with 17B parameters that achieves state-of-the-art image generation quality within seconds.,image-to-image,active,https://storage.googleapis.com/fal_cdn/fal/Upscale-1.jpeg,https://fal.run/fal-ai/hidream-i1-full/image-to-image,[],[],FALSE
fal-ai/emu-3.5-image/text-to-image,fal.ai,Emu 3.5 Image,Generate images from text using Emu 3.5 Image,text-to-image,active,https://v3b.fal.media/files/b/elephant/vIz3smWaozr97-oRkQBRu_de31d4d13d5d47d99814d2afe57cde1f.jpg,https://fal.run/fal-ai/emu-3.5-image/text-to-image,[],[],FALSE
fal-ai/emu-3.5-image/edit-image,fal.ai,Emu 3.5 Image,Edit images with a text prompt using Emu 3.5 Image,image-to-image,active,https://v3b.fal.media/files/b/monkey/tQyERUtskH6UgoJDqvDof_a8481b37918840948487c1ae79050bab.jpg,https://fal.run/fal-ai/emu-3.5-image/edit-image,[],[],FALSE
rundiffusion-fal/juggernaut-flux/base,fal.ai,Juggernaut Flux Base,"Juggernaut Base Flux by RunDiffusion is a drop-in replacement for Flux [Dev] that delivers sharper details, richer colors, and enhanced realism, while instantly boosting LoRAs and LyCORIS with full compatibility.",text-to-image,active,https://storage.googleapis.com/falserverless/gallery/juggernaut-flux-base.webp,https://fal.run/rundiffusion-fal/juggernaut-flux/base,[],[],FALSE
rundiffusion-fal/juggernaut-flux/base/image-to-image,fal.ai,Juggernaut Flux Base,"Juggernaut Base Flux by RunDiffusion is a drop-in replacement for Flux [Dev] that delivers sharper details, richer colors, and enhanced realism, while instantly boosting LoRAs and LyCORIS with full compatibility.",image-to-image,active,https://storage.googleapis.com/falserverless/gallery/juggernaut-flux-base.webp,https://fal.run/rundiffusion-fal/juggernaut-flux/base/image-to-image,[],[],FALSE
